Date,County,Cases,Deaths
2021-08-12,Calvert,4415,85
2021-08-12,Caroline,2412,31
2021-08-12,Carroll,9749,252
2021-08-12,Cecil,6686,159
2021-08-12,Charles,11563,215
2021-08-12,Dorchester,3013,64
2021-08-12,Frederick,20506,338
2021-08-12,Garrett,2099,65
2021-08-12,Harford,17223,299
2021-08-12,Howard,19882,255
2021-08-12,Kent,1391,49
2021-08-12,Montgomery,73452,1587
2021-08-12,Prince_Georges,88457,1569
2021-08-12,Queen_Annes,3095,54
2021-08-12,Somerset,2691,42
2021-08-12,St_Marys,6418,132
2021-08-12,Talbot,2256,45
2021-08-12,Washington,15039,333
2021-08-12,Wicomico,8173,179
2021-08-12,Worcester,3855,105
2021-08-13,Allegany,7216,213
2021-08-13,Anne_Arundel,45523,657
2021-08-13,Baltimore,67750,1658
2021-08-13,Baltimore_City,54537,1244
2021-08-13,Calvert,4428,85
2021-08-13,Caroline,2416,31
2021-08-13,Carroll,9766,252
2021-08-13,Cecil,6707,159
2021-08-13,Charles,11621,216
2021-08-13,Dorchester,3022,64
2021-08-13,Frederick,20546,338
2021-08-13,Garrett,2112,65
2021-08-13,Harford,17263,299
2021-08-13,Howard,19910,255
2021-08-13,Kent,1399,49
2021-08-13,Montgomery,73535,1587
2021-08-13,Prince_Georges,88619,1569
2021-08-13,Queen_Annes,3104,54
2021-08-13,Somerset,2704,42
2021-08-13,St_Marys,6448,132
2021-08-13,Talbot,2262,46
2021-08-13,Washington,15073,333
2021-08-13,Wicomico,8228,179
2021-08-13,Worcester,3878,105
2021-08-14,Allegany,7241,214
2021-08-14,Anne_Arundel,45595,657
2021-08-14,Baltimore,67869,1658
2021-08-14,Baltimore_City,54641,1244
2021-08-14,Calvert,4443,85
2021-08-14,Caroline,2424,31
2021-08-14,Carroll,9773,253
2021-08-14,Cecil,6733,159
2021-08-14,Charles,11647,216
2021-08-14,Dorchester,3033,64
2021-08-14,Frederick,20598,338
2021-08-14,Garrett,2116,65
2021-08-14,Harford,17291,299
2021-08-14,Howard,19952,256
2021-08-14,Kent,1405,49
2021-08-14,Montgomery,73645,1588
2021-08-14,Prince_Georges,88816,1571
2021-08-14,Queen_Annes,3117,54
2021-08-14,Somerset,2710,42
2021-08-14,St_Marys,6481,133
2021-08-14,Talbot,2272,46
2021-08-14,Washington,15111,333
2021-08-14,Wicomico,8269,180
2021-08-14,Worcester,3901,105
2021-08-15,Allegany,7249,214
2021-08-15,Anne_Arundel,45671,657
2021-08-15,Baltimore,67977,1659
2021-08-15,Baltimore_City,54726,1244
2021-08-15,Calvert,4457,85
2021-08-15,Caroline,2429,31
2021-08-15,Carroll,9792,253
